Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
BOLL Timo (176),09:55.5,00:00.5,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (180),09:56.0,00:00.7,,Coup droit,SET,,FLORE Tristan,,Poussette,M1
BOLL Timo (177),09:56.6,00:00.6,,Revers,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (181),09:57.2,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (178),09:57.6,00:00.7,,Coup droit,SET,,Serveur Point -,,Controle / Résistance,G3
FLORE Tristan (182),10:00.1,00:00.8,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (179),10:01.5,00:00.9,,Revers,SET,,Serveur Point -,,Poussette,M2
FLORE Tristan (183),10:05.7,00:01.9,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (180),10:08.0,00:00.5,,Coup droit,SET,,BOLL Timo,,Poussette,M2
FLORE Tristan (184),10:08.5,00:00.6,,Coup droit,SET,,Serveur Point -,,Controle / Résistance,D2
BOLL Timo (181),10:12.5,00:00.6,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (185),10:13.8,00:00.6,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M1
BOLL Timo (182),10:14.3,00:00.5,,Revers,SET,,Serveur Point -,,Attaque / Offensif,D3
BOLL Timo (183),10:18.2,00:00.0,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (186),10:19.5,00:00.6,,Revers,SET,,FLORE Tristan,,Poussette,G1
BOLL Timo (184),10:20.1,00:00.7,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (187),10:20.7,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (185),10:21.1,00:00.6,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (188),10:21.7,00:00.6,,Coup droit,SET,,Serveur Point +,,Attaque / Offensif,M3
